,step,amount,isFraud
2973739,231,1638865.05,1
6128526,542,161804.68,1
1955740,178,102660.35,1
1533261,154,442722.01,1
1640842,157,939518.05,1
4388725,315,82648.3,1
3924881,285,752639.78,1
5517872,380,259820.39,1
1603864,156,773696.12,1
142088,11,12461.0,1
3163674,237,10000000.0,1
2801132,223,2308798.26,1
5988263,415,37766.23,1
6055668,497,462441.03,1
6272916,623,58050.78,1
5664254,396,59996.12,1
1935462,177,158000.29,1
1609578,156,254167.15,1
958717,44,44571.94,1
6178608,565,1167816.02,1
3320847,253,690510.31,1
6277247,640,46973.96,1
1932164,170,335859.86,1
6294304,670,1938347.14,1
242983,14,2927005.15,1
1030704,85,1440705.58,1
369526,17,305627.0,1
6074063,515,12804.74,1
801933,40,6188772.44,1
5675346,397,52689.13,1
3951753,287,223730.4,1
3794518,281,54235.7,1
3192345,241,110344.11,1
6186779,568,30790.13,1
2813126,225,476321.8,1
6151537,546,105097.16,1
1937512,177,239556.06,1
5994345,421,267564.83,1
1611228,156,822361.52,1
5160995,357,282332.91,1
6083451,522,1752606.15,1
6358554,714,69724.85,1
6171501,563,25529.76,1
5987916,410,950791.37,1
6201186,576,818639.22,1
6362504,733,57543.34,1
1510962,146,322329.78,1
6207297,587,985127.95,1
1030459,66,813133.35,1
2584137,207,328110.3,1
6181420,566,1828.6,1
3611024,272,166972.46,1
854217,41,82806.2,1
6008688,437,16207.04,1
6194200,572,1068952.42,1
2382163,198,7620549.14,1
6281777,650,916886.3,1
5188003,363,6513531.58,1
3756943,279,145982.36,1
4723178,332,301579.42,1
6273149,631,952234.12,1
1456142,140,2873536.01,1
5188020,364,3116889.41,1
6281464,645,21990.52,1
6362344,720,71439.81,1
4798737,345,166271.16,1
3760288,279,536624.41,1
6259947,605,251118.04,1
6361198,717,116798.38,1
1030353,58,378688.65,1
6358047,712,372703.48,1
3635892,274,982414.06,1
1832574,163,762135.72,1
6226751,590,179725.06,1
6168685,558,244519.75,1
4403699,321,203874.62,1
1016899,47,61487.67,1
6351229,702,240746.27,1
5563773,391,47721.95,1
6362352,722,1158396.74,1
6358040,711,986623.96,1
6181419,566,1828.6,1
5080120,355,3592596.97,1
1889543,164,1132311.86,1
6266412,617,10000000.0,1
6009372,439,3653274.35,1
6256720,598,453699.35,1
2130869,183,5566.14,1
6319337,687,398157.05,1
5987632,409,377096.39,1
5987696,409,3260215.75,1
1059703,118,167963.64,1
6362531,736,1314660.84,1
870089,42,3569720.42,1
4580661,328,364375.51,1
6051520,494,7078157.11,1
2382170,199,590229.26,1
5987912,410,1232013.7,1
6286332,660,619502.08,1
1511330,148,394886.13,1
5170864,358,376059.27,1
4786528,345,927729.13,1
6272932,625,6870369.62,1
5996386,424,2772748.37,1
562243,22,77773.14,1
4971582,352,600722.15,1
2084587,182,166323.01,1
2801137,224,99316.36,1
6020315,462,151994.59,1
6053154,495,197943.1,1
5454842,379,36942.13,1
3913781,284,558050.49,1
6362427,727,276298.49,1
1059535,102,656118.37,1
6055687,498,9593838.63,1
1533290,154,1581441.8,1
1059491,98,63624.08,1
6271493,619,945131.71,1
6358038,711,219407.52,1
5323781,374,7466.12,1
6296027,672,7218629.01,1
3960322,295,9366.63,1
1030326,56,530733.43,1
6223227,590,2117503.53,1
2205371,186,304472.46,1
6296762,680,674541.55,1
6034232,476,1146381.44,1
6175292,564,3968964.4,1
6021366,468,764646.4,1
6290016,661,626195.24,1
6248334,596,196385.55,1
6292358,666,145944.8,1
5996375,424,5475018.52,1
6301877,683,6545346.16,1
6278031,641,2666139.51,1
9284,7,262434.54,1
6055682,498,1028515.56,1
6281775,650,71666.93,1
6281800,652,762782.66,1
6362417,727,815384.83,1
3960300,294,7809301.98,1
3958538,289,602807.17,1
3419451,256,9811104.49,1
6062837,503,861189.54,1
6200312,575,130479.52,1
6061807,501,705647.68,1
6272967,628,99165.12,1
841752,41,581889.94,1
2798790,217,13266.93,1
5312890,373,82750.0,1
5563761,390,4525901.25,1
6362475,731,302227.56,1
1030395,61,332138.32,1
1030534,71,1871553.73,1
2801106,220,1179162.08,1
1092404,130,1494432.21,1
3582207,261,591032.52,1
5563718,387,18028.13,1
2801110,220,285376.6,1
6118832,537,266546.68,1
5996398,425,486175.4,1
6232500,593,272776.59,1
1633037,157,1946687.34,1
6008691,437,4716.08,1
6207264,587,1249721.72,1
6202385,582,1270565.77,1
1915203,166,204951.37,1
2900071,228,2874626.02,1
6201007,576,1322277.84,1
2787676,215,1586479.66,1
6359256,715,329424.14,1
6357392,710,10000000.0,1
6272961,626,32382.31,1
3960336,296,717046.74,1
4023009,299,1158358.08,1
3467001,258,248043.99,1
2724585,211,55920.39,1
6010879,445,100433.21,1
6010880,445,100433.21,1
6117851,530,19576.96,1
6201833,579,32372.82,1
6009610,440,1912961.16,1
6351083,698,131842.85,1
2382141,196,288148.22,1
4516024,325,441873.49,1
6362495,732,1157971.07,1
6273172,634,26153.82,1
626937,34,71693.42,1
1511384,151,113614.57,1
6064988,507,227304.91,1
6262276,611,59649.33,1
5975515,407,312955.14,1
1677270,159,416832.9,1
6897,6,10565.0,1
1262331,134,1525742.02,1
6009722,442,3085.45,1
576346,30,19016.22,1
6020351,464,1506795.1,1
6010917,445,2277862.67,1
6351227,702,308778.37,1
4142545,303,786480.78,1
5762775,400,436757.76,1
6362386,724,1379501.18,1
1973233,178,1796069.2,1
6019704,456,10000000.0,1
6019953,458,22140.87,1
6318816,687,3009125.59,1
1148897,131,2248584.96,1
6271788,620,260408.9,1
5188002,363,6513531.58,1
6273192,635,182739.36,1
5994340,421,5455965.86,1
5743858,399,205170.29,1
3026525,233,597411.76,1
1059704,118,897427.17,1
6011024,448,14133.69,1
1059660,115,120232.13,1
2736440,212,10000000.0,1
3669000,276,124696.98,1
6273186,635,1363674.48,1
3257998,251,345425.57,1
1932191,172,800024.12,1
6168722,561,285294.11,1
3181432,239,71867.47,1
1030656,82,5338583.38,1
6362519,735,444898.97,1
6065293,510,550231.35,1
1030361,59,21174.45,1
6351064,697,620791.47,1
1030400,61,1155128.91,1
3339185,253,168622.3,1
5188038,366,500003.56,1
6061810,501,1254775.16,1
1796322,162,151.0,1
6301876,683,6545346.16,1
169998,12,149668.66,1
1457757,140,649968.87,1
1511391,152,389275.23,1
6039457,482,732198.35,1
4892273,349,3309631.1,1
2336459,189,121579.98,1
6055662,497,1416055.74,1
5186063,361,1082308.05,1
1030502,68,157494.6,1
6272983,629,93884.26,1
6020271,461,1028284.82,1
1503391,143,810599.16,1
6296622,674,10000000.0,1
2736953,212,296699.39,1
6362139,718,371449.7,1
1030958,93,38150.22,1
5970974,406,669627.43,1
6019718,457,283415.1,1
6276607,638,249017.98,1
4403700,321,203874.62,1
5628266,395,117683.42,1
421585,18,11481.0,1
1732748,161,538428.86,1
6010861,444,3752520.6,1
3585527,262,1589763.63,1
6010855,444,348055.47,1
3245558,250,156039.36,1
576320,27,329937.88,1
6307804,684,537025.01,1
6292350,665,454483.23,1
5179011,359,10000000.0,1
6362554,738,106584.32,1
6030596,474,87167.88,1
6273181,635,1387048.31,1
6362363,723,1232697.94,1
6259960,606,455788.55,1
1066547,120,105859.41,1
6168488,553,254528.76,1
5987865,409,9033760.73,1
4517035,325,1445166.74,1
3944626,286,132943.98,1
1021228,47,667043.9,1
1931843,170,147649.37,1
6010956,447,3965182.83,1
4182990,304,46661.03,1
6117870,530,387773.97,1
5988010,413,786278.72,1
2676015,210,1663895.14,1
5987910,410,281439.26,1
6039439,480,181104.66,1
2217315,186,327282.92,1
6019711,456,760984.58,1
1030340,58,106673.26,1
1741503,161,160351.22,1
6265402,614,1760546.42,1
6039813,486,1290619.25,1
5914952,404,10000000.0,1
6009599,440,807278.78,1
1030498,68,13890.42,1
1030623,78,2254934.36,1
3960314,295,1748611.28,1
2754367,212,704328.29,1
1030740,89,766631.82,1
6206518,586,245991.5,1
4388762,318,247455.25,1
1069098,121,130987.75,1
4471419,324,378527.71,1
6200311,575,130479.52,1
6281473,646,6468916.64,1
5791801,401,4481768.26,1
1506706,144,343999.8,1
1932228,175,319208.14,1
1030736,88,4022408.76,1
5509071,380,49076.27,1
1059629,110,904124.58,1
3896067,284,739584.33,1
6008433,435,1143937.73,1
5153502,357,2239461.29,1
6278029,641,115599.26,1
1005247,46,35016.23,1
1059507,99,1515291.19,1
6001563,427,426173.04,1
6357390,710,10000000.0,1
6242328,595,2209035.37,1
6168681,558,2190762.32,1
1510580,145,9467.62,1
6281796,651,595558.89,1
1030279,52,1093155.19,1
6168740,562,203881.96,1
4782755,336,5903457.39,1
6351197,700,113447.92,1
5987866,409,9033760.73,1
6064974,506,575082.97,1
4384506,312,6580427.81,1
6009347,439,112656.24,1
1511311,147,489514.32,1
1030598,75,755813.12,1
6358067,713,2046684.58,1
6351251,704,1593189.25,1
1931270,169,19244.9,1
6272944,625,58924.16,1
4824969,346,516355.22,1
3220578,250,213463.32,1
1070170,128,138993.63,1
6009598,440,4339822.23,1
6057729,500,930970.44,1
3611007,271,279776.54,1
1070162,127,701707.89,1
5222594,370,243118.94,1
1030677,84,8380.79,1
571496,24,291305.98,1
6117952,531,834203.65,1
555790,22,2068118.36,1
6272261,621,2060748.45,1
2955662,230,1827209.07,1
1030471,66,126715.84,1
6065299,511,150929.12,1
6362538,736,3912252.81,1
5562383,385,617882.66,1
6344447,692,6856104.02,1
6065307,512,1319703.76,1
6168678,557,643052.88,1
3618323,273,601494.61,1
6281493,647,2253811.33,1
2779308,214,116419.58,1
5704604,398,505571.43,1
6273196,636,1455839.54,1
1463994,140,53782.87,1
2368943,191,114743.39,1
1059691,117,1761021.33,1
1030692,84,351912.04,1
1030579,74,59813.61,1
6362556,738,814689.88,1
4475203,324,450458.78,1
6118803,535,606501.57,1
6210710,588,187128.57,1
1015515,47,243028.65,1
6362450,730,2154005.71,1
3958614,289,3374.25,1
6362584,741,5674547.89,1
1059672,116,2694857.26,1
3193198,244,53338.82,1
6347724,694,5175876.53,1
6351226,702,0.0,1
6010654,442,9065.34,1
3029019,233,122090.79,1
6186776,568,112988.36,1
5994342,421,1501341.87,1
6291213,663,115782.68,1
3922753,285,4452001.07,1
1511381,151,1766811.07,1
4384224,312,134383.84,1
6281460,645,1576874.04,1
1499188,143,1822754.86,1
7030,6,85354.69,1
5563764,390,1195842.37,1
3610970,268,754874.26,1
2491320,204,2144208.23,1
6332130,690,66643.99,1
6117188,528,311234.46,1
2801091,218,494453.52,1
5157486,357,4177467.46,1
2780800,214,2582313.07,1
1059512,100,28871.9,1
6243646,595,76732.89,1
2937749,230,102009.37,1
1633038,157,1946687.34,1
6202689,583,1583.28,1
1511337,149,861406.83,1
4541724,326,829645.3,1
1030490,68,1858515.57,1
6117688,530,398711.68,1
5563495,386,879810.51,1
6166724,551,483713.23,1
6259036,600,2095699.93,1
6001564,427,3890627.92,1
6362366,723,128893.5,1
6265002,613,86002.09,1
841751,41,581889.94,1
6272263,621,1077146.94,1
1006042,46,71372.0,1
6010955,447,3965182.83,1
1033688,93,315654.19,1
3826721,282,17428.0,1
6296661,676,327773.15,1
1030473,66,4631432.03,1
6117118,528,11070.29,1
6259939,604,203848.61,1
6039470,482,37831.15,1
4912415,349,14279.89,1
4204422,305,1309602.55,1
6351082,698,131842.85,1
1030603,76,2066446.27,1
1030331,57,354441.19,1
6353930,708,1494146.93,1
855228,41,1270564.34,1
5769251,400,51113.0,1
6010867,444,178616.12,1
6010469,442,2758096.0,1
6117504,529,1679154.56,1
5538565,382,1465173.76,1
6187838,569,176626.77,1
2285659,187,1736804.93,1
6020472,466,104171.37,1
2983493,231,94372.61,1
556187,22,74804.24,1
3173835,238,5274773.52,1
1030441,65,3760068.04,1
1025193,48,1215297.01,1
6272963,627,953529.64,1
6339138,692,255557.12,1
6273163,633,75480.15,1
1639179,157,2498837.82,1
3849813,282,181647.66,1
6168497,554,10000000.0,1
553051,22,346704.55,1
4070442,300,774761.84,1
6271133,619,418971.0,1
4279006,307,16734.61,1
6020342,464,880975.83,1
5967457,406,126192.63,1
1325511,137,417217.89,1
1030669,83,24412.07,1
4769538,334,972142.03,1
6082020,521,27483.79,1
2850000,227,176007.37,1
6010848,443,1591263.43,1
6362558,738,114490.39,1
6296629,674,64083.54,1
3960284,292,362335.05,1
576345,30,236947.25,1
6018792,453,134725.66,1
3605434,264,627586.04,1
6301484,682,64557.77,1
6271472,619,2341474.44,1
6160574,549,1571565.56,1
1897148,165,1869237.83,1
5724696,398,371771.44,1
1724551,160,1697093.54,1
6281483,646,0.0,1
3163677,237,3924102.18,1
5989788,416,27276.07,1
2380627,193,103368.58,1
6045013,492,2985840.4,1
1059619,109,126375.17,1
6357394,710,10000000.0,1
1059271,97,253498.36,1
6273184,635,580010.03,1
6292352,665,2799902.39,1
1030597,75,755813.12,1
5174444,358,1438737.78,1
6074462,517,4993938.87,1
2801098,219,2312944.11,1
6266212,614,281087.01,1
1622804,157,95348.33,1
4785311,338,119443.3,1
5477541,379,2983996.6,1
4796623,345,128936.95,1
2801118,221,93708.08,1
6019720,457,145482.09,1
941414,43,21987.0,1
1030711,86,8931607.89,1
5335533,374,115125.3,1
6259817,601,98099.07,1
1059634,110,743311.65,1
5153503,357,2239461.29,1
1141253,131,7476725.66,1
5987930,411,281023.82,1
6168500,554,0.0,1
1030376,60,1026208.84,1
6238906,594,28936.11,1
5981896,408,398724.6,1
6362416,727,815384.83,1
2382156,198,18471.55,1
2380628,193,103368.58,1
3670250,276,2554948.41,1
6168690,558,1268931.21,1
1030684,84,296349.8,1
3947218,286,97091.24,1
6201733,578,736677.36,1
2778704,214,106434.23,1
4693,4,13707.11,1
6358710,714,280258.44,1
3193208,246,14343.03,1
6078935,518,95105.01,1
5186528,361,54892.98,1
5937493,404,540914.12,1
3571171,261,259186.43,1
3960340,296,3043141.07,1
6055135,496,766151.45,1
5456352,379,99458.21,1
6044575,491,1122827.94,1
6187205,569,51416.07,1
6272956,626,55740.39,1
6040702,487,1035401.2,1
1030765,91,28308.97,1
1932220,174,1536245.52,1
6353617,706,934590.45,1
2199363,185,830495.23,1
6353754,707,2331777.94,1
6259988,608,388171.95,1
6030597,474,87167.88,1
6351254,704,391855.44,1
5563707,387,10000000.0,1
6351210,701,496420.67,1
1030442,65,3760068.04,1
286185,15,164500.81,1
6118183,532,634046.89,1
1059531,102,1076739.91,1
4955045,351,178344.25,1
5987923,411,10000000.0,1
4782093,336,964388.1,1
1006043,46,71372.0,1
5586770,394,147957.23,1
6020255,461,1464614.79,1
4244886,306,2052851.64,1
6339137,692,255557.12,1
6061883,502,73051.02,1
6295600,670,10000000.0,1
6265589,614,4212682.84,1
6362470,731,31887.18,1
6292356,665,290491.12,1
6262270,611,40873.25,1
680190,36,819503.92,1
6279186,643,44482.33,1
6281501,648,1086227.44,1
1794332,162,5820137.62,1
6270345,619,1289142.33,1
1030767,91,482679.6,1
1059700,118,1812161.42,1
3199995,249,90915.0,1
5987906,410,4900487.15,1
5987532,409,2284476.12,1
6292295,664,639991.03,1
6362347,720,57040.65,1
4538400,326,618381.01,1
2788265,215,45053.05,1
574991,25,18126.95,1
2898703,228,1323909.85,1
5934991,404,40359.75,1
6264972,613,2155569.91,1
6040703,487,1035401.2,1
1511314,147,522343.83,1
6356870,710,1371322.0,1
6039461,482,132438.82,1
6201740,578,118106.94,1
6040749,489,4241.44,1
5514350,380,70125.14,1
2875795,227,182666.85,1
6118827,537,1504.73,1
2800935,217,1052668.73,1
3036096,234,225923.37,1
3869816,283,924912.26,1
6296757,680,28399.72,1
376841,17,195351.76,1
6168726,561,348983.86,1
3273908,251,2693520.61,1
2889225,228,266836.35,1
1930348,169,978261.98,1
929776,43,93459.89,1
2740544,212,36035.11,1
1027282,48,5489302.04,1
4415618,322,71329.73,1
5937492,404,540914.12,1
5987964,413,781.93,1
2795239,216,31358.72,1
1030487,68,5800988.12,1
6272938,625,10000000.0,1
1029539,49,1021129.67,1
6272959,626,44577.32,1
5746,6,25975.86,1
4388736,316,72665.95,1
6010943,446,2720647.79,1
6296613,673,888905.27,1
6090060,522,545780.7,1
5993383,420,500905.62,1
6296127,672,330756.72,1
4378297,311,2479691.37,1
6168688,558,4529.65,1
1698179,159,78523.24,0
3020575,233,15125.37,0
2416681,202,9789.5,0
6347107,694,12760.2,0
4202299,305,37688.41,0
1170765,132,303087.5,0
5322837,374,9180.37,0
4327950,308,12220.42,0
1845463,163,10706.59,0
3155002,237,93073.01,0
2205058,186,1645.08,0
4839692,347,302885.75,0
1398318,139,54173.02,0
501679,20,4634.14,0
1294585,136,144775.78,0
3385132,255,7879.95,0
3800394,281,1131.26,0
3691818,277,122338.34,0
6153176,547,332000.36,0
215530,13,2451.86,0
6012002,448,182739.07,0
537690,21,13396.66,0
4208551,305,434297.35,0
5857546,402,35271.51,0
4990725,352,274744.87,0
6155131,548,344.81,0
1937380,177,53499.33,0
58777,9,113446.13,0
2068885,181,180774.23,0
3324516,253,201359.32,0
785699,39,110068.87,0
6258551,599,38754.61,0
1478740,141,305883.61,0
2982073,231,146879.6,0
5124520,356,14364.84,0
1798206,162,250289.3,0
3889367,284,224530.89,0
5032904,354,29549.76,0
1489461,142,194295.56,0
6352518,705,148927.48,0
4917976,350,264304.64,0
1717049,160,195961.54,0
666739,36,135241.51,0
2811261,225,95528.76,0
4473154,324,114046.09,0
5953130,405,12555.22,0
1978153,179,114925.81,0
4392037,321,17359.87,0
3408878,255,534304.97,0
2521137,205,214478.83,0
5932693,404,405286.21,0
3979238,297,42973.25,0
4147213,303,244189.13,0
4862985,348,299136.09,0
902127,43,33592.83,0
655162,35,19524.19,0
2383537,201,353607.81,0
